MEC400, ACTUADORES ELECTRICOS 
CIEC-08, ACUERDOS COMERCIALES
CEER-11, ACUMULAD. Y VEHÍCULOS ELECTR.
MER205, ADMIN. DE VENTAS 
IND404, ADMINIST. DE PROYECTOS
CIV505, ADMINISTRACION DE OBRAS
ADM102, ADMINISTRACIÓN I 
ADM103, ADMINISTRACIÓN II
FIN413, ADMON. DE INVERSIONES
IND303, ADMON. DE LA PRODUCCION
IND406, ADMON. DE LA TECNOLOGIA
FIN414, ADMON. DEL CREDITO
ADM104, ADMON. EMPRE. INTERNACIONALES
IND309, ADMON. OPERACIONES I
IND309, ADMON. OPERACIONES I
CCC411, APLICACIONES DE REDES,
DEP107, AJEDREZ 
ALE101, ALEMAN I
ALE102, ALEMAN II
MAT102, ALGEBRA    
MAT105, ALGEBRA LINEAL
MAT105, ALGEBRA LINEAL
INF405, ANAL. Y DIS. DE SISTEMAS I
CIV310, ANALI. HIPERESTATICO I
CIV403, ANALI. HIPERESTATICO II
CON204, ANALISIS CONTABLE I
CON308, ANALISIS CONTABLE II
CCC407, ANALISIS DE ALGORITMOS
INF401, ANALISIS DE SISTEMAS
CIV202, ANALISIS NUMERICO
BMD303, ANATOMIA Y FISIOLOGIA I
DCD201, ANATOMÍA CABEZA Y CUELLO
CEER-12, ANÁLISIS Y OPT. ENER. INSTAL.
ART107, APRECIACION LITERARIA
ART102, APRECIACION MUSICAL
MER209, ARCVIEW - 06/310
DGR301, ARTES FINALES - Lab. de Computo MAC
CIEC-07, ASPECTOS COMERCIALES
CIEC-09, ASPECTOS OPERATIVOS
FIN207, AUDITORIA DE PROYECTOS
PSE107, BASES BIOL
PSE108, BASES BIOL
ARQ404, BIENES RAICES
DER114, BIENES Y DERECHOS REALES
DCD101, BIOFÍSICA
BIO201, BIOLOGIA
NUE204, BIOQUÍMICA DE LA NUTRICIÓN
DCD302, BIOÉTICA
ARQ241, CAD 2D
ARQ342, CAD 3D
MAT104, CALCULO I DIF. GEO. AN.
MAT201, CALCULO I INTEGR. 
MAT202, CALCULO II GEO. ANALITI
MAT106, CALCULO PARA CC. SOCIALES
COM311, CAMPAÑAS DE DIVULGACION 
COM409, CINEMATOGRAFIA DOCUMENTAL 
SEL301, CIRCUITOS ELECTRICOS I
SEL306, CIRCUITOS ELECTRICOS II
CEHG-07, COACHING Y MENTORING
INF201, COMERCIO ELECTRONICO
CCC501, COMPILADORES I
MER202, COMPORT. DEL CONSUMIDOR 
ADM301, COMPORTA. HUMANO EN LAS ORGA.
DGR101, COMPUT. APLIC. AL DISEÑO GRAF. - Lab. computo
COM423, COMUNIC. PARA LA DIVERSIDAD
TLL301, COMUNICACION 
